recoveredCode;date;recoveredQuantity;recoveredTotalQuantity;nameCountry;nameDataset
Recovered-000177;2020-06-11;5;642;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000178;2020-06-11;6;271;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000179;2020-06-11;38;2212;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000180;2020-06-11;180;7254;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000181;2020-06-11;1747;33252;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000182;2020-06-11;2;878;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000183;2020-06-11;108;250;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000184;2020-06-11;1;41;Angola;recovered_cases_africa_ncov_2020-06-16
Recovered-000185;2020-06-11;402;10691;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000186;2020-06-11;6;313;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000187;2020-06-11;10;156;Santo Tomé y Príncipe;recovered_cases_africa_ncov_2020-06-16
Recovered-000188;2020-06-11;2;51;Zimbabue;recovered_cases_africa_ncov_2020-06-16
Recovered-000189;2020-06-11;10;65;Malaui;recovered_cases_africa_ncov_2020-06-16
Recovered-000190;2020-06-11;13;7583;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000191;2020-06-11;2;238;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000192;2020-06-11;26;532;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000193;2020-06-11;41;989;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000194;2020-06-11;6;144;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000195;2020-06-11;44;1092;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000196;2020-06-11;259;2519;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000197;2020-06-11;1;59;Libia;recovered_cases_africa_ncov_2020-06-16
Recovered-000198;2020-06-11;16;312;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000199;2020-06-11;33;434;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000200;2020-06-11;5;7570;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000201;2020-06-11;109;2994;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000202;2020-06-10;8;799;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000203;2020-06-10;138;2416;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000204;2020-06-10;600;5474;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000205;2020-06-10;38;4874;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000206;2020-06-10;24;3033;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000207;2020-06-10;320;360;República Centroafricana;recovered_cases_africa_ncov_2020-06-16
Recovered-000208;2020-06-10;16;61;Burundi;recovered_cases_africa_ncov_2020-06-16
Recovered-000209;2020-06-10;33;48;Sudán del Sur;recovered_cases_africa_ncov_2020-06-16
Recovered-000210;2020-06-10;6;989;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000211;2020-06-10;6;206;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000212;2020-06-10;1;120;Uganda;recovered_cases_africa_ncov_2020-06-16
Recovered-000213;2020-06-10;2;567;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000214;2020-06-10;8;229;República del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000215;2020-06-10;145;4351;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000216;2020-06-10;22;978;Gabón;recovered_cases_africa_ncov_2020-06-16
Recovered-000217;2020-06-10;5;265;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000218;2020-06-10;11;146;Santo Tomé y Príncipe;recovered_cases_africa_ncov_2020-06-16
Recovered-000219;2020-06-10;5;876;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000220;2020-06-10;2499;31505;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000221;2020-06-10;129;2174;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000222;2020-06-10;123;7074;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000223;2020-06-10;3;49;Zimbabue;recovered_cases_africa_ncov_2020-06-16
Recovered-000224;2020-06-10;2;40;Angola;recovered_cases_africa_ncov_2020-06-16
Recovered-000225;2020-06-10;503;10289;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000226;2020-06-10;7;307;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000227;2020-06-10;3;142;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000228;2020-06-10;24;294;Cabo Verde;recovered_cases_africa_ncov_2020-06-16
Recovered-000229;2020-06-10;1;325;Mauricio;recovered_cases_africa_ncov_2020-06-16
Recovered-000230;2020-06-10;69;7565;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000231;2020-06-10;4;236;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000232;2020-06-10;49;1069;Zambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000233;2020-06-10;16;637;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000234;2020-06-10;2;138;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000235;2020-06-10;121;2260;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000236;2020-06-10;17;948;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000237;2020-06-10;17;506;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000238;2020-06-10;175;1048;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000239;2020-06-10;22;296;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000240;2020-06-10;3;7496;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000241;2020-06-10;1;58;Libia;recovered_cases_africa_ncov_2020-06-16
Recovered-000242;2020-06-10;76;2885;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000243;2020-06-10;22;401;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000244;2020-06-10;1;17;Namibia;recovered_cases_africa_ncov_2020-06-16
Recovered-000245;2020-06-09;76;2278;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000246;2020-06-09;1;791;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000247;2020-06-09;69;3824;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000248;2020-06-09;67;3009;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000249;2020-06-09;1;200;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000250;2020-06-09;1;983;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000251;2020-06-09;26;565;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000252;2020-06-09;1;119;Uganda;recovered_cases_africa_ncov_2020-06-16
Recovered-000253;2020-06-09;166;4206;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000254;2020-06-09;30;97;Comoras;recovered_cases_africa_ncov_2020-06-16
Recovered-000255;2020-06-09;9;260;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000256;2020-06-09;42;4836;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000257;2020-06-09;2;871;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000258;2020-06-09;18;956;Gabón;recovered_cases_africa_ncov_2020-06-16
Recovered-000259;2020-06-09;176;2045;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000260;2020-06-09;20;139;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000261;2020-06-09;1;221;República del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000262;2020-06-09;32;1020;Zambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000263;2020-06-09;411;9786;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000264;2020-06-09;2907;29006;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000265;2020-06-09;152;6951;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000266;2020-06-09;21;706;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000267;2020-06-09;3;300;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000268;2020-06-09;70;7493;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000269;2020-06-09;15;931;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000270;2020-06-09;3;232;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000271;2020-06-09;10;621;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000272;2020-06-09;126;2139;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000273;2020-06-09;5;136;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000274;2020-06-09;4;270;Cabo Verde;recovered_cases_africa_ncov_2020-06-16
Recovered-000275;2020-06-09;19;489;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000276;2020-06-09;24;873;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000277;2020-06-09;18;379;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000278;2020-06-09;20;274;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000279;2020-06-09;110;2809;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000280;2020-06-09;4;57;Libia;recovered_cases_africa_ncov_2020-06-16
Recovered-000281;2020-06-09;15;7423;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000282;2020-06-08;75;2202;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000283;2020-06-08;12;790;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000284;2020-06-08;2;40;República Centroafricana;recovered_cases_africa_ncov_2020-06-16
Recovered-000285;2020-06-08;110;3755;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000286;2020-06-08;59;135;Santo Tomé y Príncipe;recovered_cases_africa_ncov_2020-06-16
Recovered-000287;2020-06-08;1;22;Gambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000288;2020-06-08;24;2942;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000289;2020-06-08;4;199;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000290;2020-06-08;2;188;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000291;2020-06-08;2;539;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000292;2020-06-08;15;118;Uganda;recovered_cases_africa_ncov_2020-06-16
Recovered-000293;2020-06-08;8;76;Santo Tomé y Príncipe;recovered_cases_africa_ncov_2020-06-16
Recovered-000294;2020-06-08;3;251;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000295;2020-06-08;3;611;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000296;2020-06-08;81;4040;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000297;2020-06-08;105;938;Gabón;recovered_cases_africa_ncov_2020-06-16
Recovered-000298;2020-06-08;1;24;Botsuana;recovered_cases_africa_ncov_2020-06-16
Recovered-000299;2020-06-08;26;266;Cabo Verde;recovered_cases_africa_ncov_2020-06-16
